"Status","Name","Duration in ms","Description"
"passed","restaurants.test_restaurants_add_and_get.TestDefaultController#test_restaurants_add","369",""
"passed","restaurants.test_restaurants_add_and_get.TestDefaultController#test_restaurants_get","268",""
